Reportnumber,NonMotoristID,NonMotoristActions,NonMotoristAlcoholTestindicator,NonMotoristAlcoholTestType,NonMotoristBAC,NonMotoristCondition,NonMotoristDOB,NonMotoristDrugTestIndicator,NonMotoristDrugTestResult,NonMotoristInjurySeverity,NonMotoristLocation,NonMotoristMovement,NonMotoristObeyTrafficSignal,NonMotoristSafetyEquipment,NonMotoristSex,NonMotoristSubstanceUse,NonMotoristType,NonMotoristUnitNumberFirstStrike,NonMotoristVisibility
ADK157005D,abc48674-81dd-4c40-bee5-5ce3461544ff,Dart Dash,N/A,,,Apparently Normal,1/25/2014,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,F,None Detected,Pedestrian,1,Mixed Clothing
ADJ594001X,5120d3bd-9ee2-4a52-82fd-1882134bd35a,No Improper Actions,N/A,,,Apparently Normal,9/24/1999,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Mixed Clothing
ADJ823001Z,4b8f5efb-7a2c-402b-a3d9-a18e31117566,Failure to Yield Right of Way,N/A,,,Using Drugs,7/15/1974,Unknown,Unknown,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,Unknown,None,M,Other,Bicyclist,,Light Clothing
ADK352001H,1c7ae18d-c887-43ec-93df-33fbd2cb850c,Failure to Yield Right of Way,N/A,,,Apparently Normal,10/16/1972,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,F,Unknown,Pedestrian,1,Mixed Clothing
MDTA18210043,8dfa74b4-d116-4434-bc6d-f2ff635d5aec,In Roadway Improperly,N/A,,,Had Been Drinking,3/2/1995,N/A,,Suspected Minor Injury,Other,Walking/Riding Against Traffic,N/A,None,M,Alcohol Present,Pedestrian,1,Mixed Clothing
ADK243002Q,188acb8f-341a-4ec1-8ffc-28d028ebdbf7,No Improper Actions,N/A,,,N/A,10/6/1956,N/A,,Suspected Serious Injury,N/A,Walking/Riding With Traffic,N/A,Unknown,M,N/A,Bicyclist,1,N/A
ADK0440018,7c4653b8-c89a-4b87-85d6-6c2712d7f801,Failure to Yield Right of Way,N/A,,,Other,10/10/1965,N/A,,Suspected Serious Injury,At Intersection But No Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Dark Clothing
ADK0440018,ebd4f73f-34da-4abe-9811-6cbfb95d01dd,Failure to Yield Right of Way,N/A,,,N/A,1/1/1956,N/A,,Suspected Serious Injury,At Intersection But No Crosswalk,Walking/Riding With Traffic,N/A,None,M,N/A,Pedestrian,1,Dark Clothing
ADK5020026,e3b25248-e7de-4160-9e11-472e20ebb3cc,Not Visible,N/A,,,,1/1/1991,N/A,,Possible Injury,On Roadway Not at Crosswalk,Unknown,N/A,N/A,M,N/A,Pedestrian,,Light Clothing
ADK7240005,12eb49a2-9a3c-4cd3-82ce-ee8525fd1b9a,Dart Dash,N/A,,,Apparently Normal,8/8/2014,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking To/From School,N/A,N/A,M,N/A,Pedestrian,1,Unknown
ADI2890056,127d5274-3b9d-4111-9473-7d9d7ebcd240,N/A,N/A,,,,12/30/1996,N/A,,Possible Injury,Other,Push/Work on Vehicle,N/A,Other,F,None Detected,Other,1,Dark Clothing
ADK090002J,e5cf8b4c-e2a3-400f-9353-e5988ff5502e,Not Visible,N/A,,,Apparently Normal,6/26/2014,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Light Clothing
ADK026002R,9b5815c1-9877-4313-95be-acd00b31caad,No Improper Actions,N/A,,,Apparently Normal,12/30/2017,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Light Clothing
ADK026002R,ba83e1a3-c37d-4612-b1c7-89898db8ae1e,No Improper Actions,N/A,,,Apparently Normal,3/15/1986,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Light Clothing
ADK447000L,f7f4b63e-27d4-4734-b95e-1fe76f00afd0,No Improper Actions,N/A,,,Had Been Drinking,6/24/1980,N/A,,Suspected Serious Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,Alcohol Present,Pedestrian,1,Unknown
ADI748006F,3e8e50f7-f966-4112-8ac8-1333f78b2cc9,Unknown,N/A,,,,3/21/1994,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Unknown,N/A,M,N/A,Pedestrian,,Mixed Clothing
ADK162000Q,18068b3b-e6d8-46a1-bfd0-6839b7478405,No Improper Actions,N/A,,,Physical Defects,7/24/1968,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Unknown,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADK4350036,ddbc45cf-524b-40c1-86d7-269f07b4cc6d,No Improper Actions,N/A,,,,6/13/1978,N/A,,Possible Injury,Other,Standing,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADK7990002,9938218a-cabe-40dd-bc98-a19dcde08180,Inattentive,N/A,,,,5/9/2005,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,N/A,F,None Detected,Other,,Unknown
ADK577000R,37f29cc9-8783-4e49-8039-d1677ac40fc3,No Improper Actions,N/A,,,,4/5/1955,N/A,,Suspected Serious Injury,Shoulder,Cross/Enter Not at Intersection,N/A,None,F,Unknown,Pedestrian,,Dark Clothing
ADG9070017,a6a8516d-a102-43ff-8a4b-63ca85f62986,Unknown,N/A,,,Unknown,11/3/1968,N/A,,Possible Injury,On Roadway At Crosswalk,Walking/Riding on Sidewalk,Unknown,N/A,M,Unknown,Bicyclist,1,N/A
ADJ6320099,0158bfeb-fa14-4aa9-8e61-ad65daf5261f,Unknown,N/A,,,Apparently Normal,3/26/2015,N/A,,Suspected Minor Injury,Unknown,Cross/Enter at Intersection,N/A,N/A,M,None Detected,Other,1,Mixed Clothing
ADK6000020,1a909816-fec1-4076-ae97-11f537b50c1d,Unknown,N/A,,,Apparently Normal,7/6/1981,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADK202002L,bd0eba3c-f4fe-44f5-8c52-c658c7354b54,Inattentive,N/A,,,,5/11/1996,N/A,,Suspected Serious Injury,Driveway Access Marked Crosswalk,Walking/Riding With Traffic,Unknown,None,M,N/A,Machine Operator/Rider,,Dark Clothing
ADG4930065,dcf10146-65a7-4760-9432-f42103973400,N/A,N/A,,,,11/12/1984,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,F,None Detected,Pedestrian,,Mixed Clothing
ADK432000S,40644322-fc73-4d90-8130-6486c797ad72,No Improper Actions,N/A,,,,5/4/1994,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,F,N/A,Pedestrian,,N/A
ADK432000S,97d563ce-1006-4755-8b42-488bac5c457d,No Improper Actions,N/A,,,,6/27/1992,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,F,N/A,Pedestrian,,N/A
ADK432000S,c7b2bdfb-fd06-460f-b9e0-dc993fc7c929,No Improper Actions,N/A,,,,9/8/1982,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,M,N/A,Pedestrian,,N/A
ADK432000S,cf470423-ed92-42e7-b823-71a5b6b8a8c6,No Improper Actions,N/A,,,,10/14/1998,N/A,,Suspected Minor Injury,N/A,Standing,N/A,N/A,M,N/A,Pedestrian,,N/A
ADK432000S,eb325215-24c0-4635-a8b0-11b946cb0eb9,No Improper Actions,N/A,,,,7/12/1979,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,F,N/A,Pedestrian,,N/A
ADK157004Q,906dbd92-a0ac-4fdd-b12b-f055f5877247,Other,N/A,,,,2/3/1999,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Other,N/A,None,M,None Detected,Other,,Dark Clothing
ADK317000W,790ff71e-14e5-49ef-8bb6-ed62729a6bf6,No Improper Actions,N/A,,,Apparently Normal,4/29/1977,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Mixed Clothing
ADI748006C,120ec7ea-c7cd-4bc7-bed2-c304a738991c,Unknown,N/A,,,N/A,4/16/1951,N/A,,Suspected Serious Injury,Shoulder,Getting Off/On Vehicle,N/A,N/A,M,None Detected,Pedestrian,,Dark Clothing
ADH1270004,3653e13d-6032-42a1-b102-30ea93b80c70,Unknown,N/A,,,Apparently Normal,10/29/1997,N/A,,Suspected Minor Injury,Other,Standing,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,,Dark Clothing
ADJ578001H,ed96eb1c-00c0-49cb-a47c-ecb22dcbb584,Inattentive,N/A,,,Apparently Normal,8/12/1958,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,N/A,None,F,N/A,Pedestrian,1,Dark Clothing
MTA0404000S,e313bfc3-58f0-40a2-a4d9-33767bfdabae,No Improper Actions,N/A,,,,1/21/1984,N/A,,Suspected Minor Injury,Sidewalk,Walking/Riding on Sidewalk,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,,Unknown
ADJ222001Q,5b9acf48-e106-4cde-900a-5dbdd7697333,Unknown,N/A,,,,11/24/2004,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,N/A,F,N/A,Pedestrian,,Unknown
ADJ8230020,025d4f83-15bb-47d4-98f7-5d3c0c7271ff,In Roadway Improperly,N/A,,,Unknown,9/6/1979,N/A,,Suspected Serious Injury,Other,Other,N/A,None,F,Unknown,Other,2,Other
ADJ2360097,c2c18aed-d0b7-48b2-a3f3-c1aa7c560998,Not Visible,N/A,,,Apparently Normal,9/9/1969,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,F,N/A,Pedestrian,1,Mixed Clothing
ADG761000L,c37645b2-3f42-4065-87ce-0d84e85a4e86,Unknown,N/A,,,Unknown,10/19/1998,N/A,,Suspected Minor Injury,N/A,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,,Unknown
ADK044001N,9028dae3-5319-4e9a-acf4-b04e118bf2f2,No Improper Actions,N/A,,,Apparently Normal,2/16/1964,N/A,,Suspected Serious Injury,N/A,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,,N/A
ADK435002N,e83a9eaa-e0a4-42c0-bc35-0c48c8cc8dab,Unknown,N/A,,,,3/28/1994,N/A,,Suspected Minor Injury,Unknown,Unknown,Unknown,None,F,N/A,Machine Operator/Rider,,Unknown
ADK719000D,12f82f36-55c7-4a53-8bb6-0bda668a2ca5,No Improper Actions,N/A,,,Apparently Normal,4/12/1977,N/A,,Possible Injury,Sidewalk,N/A,N/A,N/A,M,N/A,Pedestrian,,Light Clothing
ADK622001L,e10cf9c5-08cd-4c8d-9866-aff9cfed35e6,Failure to Yield Right of Way,N/A,,,,12/4/2013,N/A,,Possible Injury,On Roadway Not at Crosswalk,Playing,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Dark Clothing
ADK668000Q,081ebbd8-680a-4aaa-ab71-0c02b0be4b59,Unknown,N/A,,,N/A,8/30/2004,N/A,,Possible Injury,N/A,Standing,N/A,N/A,F,N/A,Pedestrian,1,N/A
ADK452000M,cd984b12-da6f-4e10-b179-d0cc29ea3869,In Roadway Improperly,N/A,,,Apparently Normal,9/20/1993,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,M,Unknown,Pedestrian,1,Light Clothing
ADK7090011,27dc8238-5b9e-4089-a6d7-6fe5d7b07281,No Improper Actions,N/A,,,,2/12/1964,N/A,,Possible Injury,Sidewalk,Other,Other,None,F,N/A,Pedestrian,,Other
ADK313002C,38e7ab59-c710-4bfa-b12a-4b5b84618740,Other,N/A,,,,2/19/1968,N/A,,Possible Injury,Other,Push/Work on Vehicle,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADK456002K,068c3477-4bfc-4d93-95c8-bd0564d334c1,No Improper Actions,N/A,,,Apparently Normal,6/23/1970,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,Disobeyed Pedestrian Signal,None,M,N/A,Pedestrian,,Dark Clothing
MTA03740020,24e9cdbe-22ee-4c01-88c3-a6ea9de45a87,Dart Dash,N/A,,,Apparently Normal,12/13/1968,N/A,,Possible Injury,Other,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Light Clothing
ADK6220019,27a2ae59-6981-48ea-8729-9a6eca88a594,Unknown,N/A,,,,2/15/2012,N/A,,Possible Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,Unknown,None,M,N/A,Bicyclist,,Light Clothing
ADK1100056,59979aef-f2e3-41b2-b640-52bb98f6bb1f,In Roadway Improperly,N/A,,,Apparently Normal,3/11/1985,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
ADK518001D,217259e6-a9f9-45a7-b105-6878d1269a62,In Roadway Improperly,N/A,,,,8/12/1985,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,N/A,M,Alcohol Contributed,Pedestrian,,Mixed Clothing
ADK061002Q,9fc658d4-3812-44ca-91e5-474782b6c383,Not Visible,N/A,,,Apparently Normal,6/3/2016,N/A,,Suspected Serious Injury,At Intersection But No Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Other
ADG299002N,2e646bef-0e93-4a0e-b935-1c934c2b02e7,Unknown,N/A,,,Apparently Normal,11/14/1955,N/A,,Suspected Minor Injury,Shoulder,Walking/Riding With Traffic,N/A,Unknown,M,N/A,Machine Operator/Rider,1,Unknown
ADF81900C6,54105495-90a8-4697-99ca-cc86faf1cc5b,Dart Dash,N/A,,,Apparently Normal,4/25/1989,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Other,No Pedestrian Signal,N/A,M,Unknown,Pedestrian,1,Mixed Clothing
ADK366001V,bb650b51-e7da-4377-b904-72410fce31c0,Unknown,N/A,,,,11/22/1953,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,N/A,N/A,None,M,N/A,Bicyclist,,N/A
ADJ0820026,3036beda-667f-4b49-a8dc-28881e175a86,Dart Dash,N/A,,,Apparently Normal,1/11/2012,N/A,,Possible Injury,Shoulder,Playing,N/A,None,M,N/A,Bicyclist,1,Dark Clothing
ADK6800007,bd9d67de-a888-40c0-af60-48033a6ef3f2,Dart Dash,N/A,,,,3/27/2004,N/A,,Possible Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,,N/A
ADK138001X,0f045267-7b6f-4b7f-96f6-3a0474133773,Dart Dash,N/A,,,Apparently Normal,1/1/2016,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Playing,N/A,N/A,M,N/A,Pedestrian,1,Light Clothing
ADK603000G,96afc66f-30e7-4115-affe-ca2ab3b0b249,Unknown,N/A,,,N/A,10/3/2017,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Unknown,N/A,N/A,F,N/A,Pedestrian,1,N/A
ADG331005R,6e7959fe-82f7-479f-ad18-578f1d82a595,Dart Dash,N/A,,,Apparently Normal,2/14/2008,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADI523009B,3d06772a-7baf-4350-b75d-94de00accae4,Unknown,N/A,,,Apparently Normal,6/24/1993,N/A,,No Apparent Injury,Shoulder,Unknown,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Light Clothing
ADI523009B,b330bb53-d619-41e4-be5a-5a8f7dc3bd5f,Unknown,N/A,,,Apparently Normal,8/30/1989,N/A,,No Apparent Injury,Shoulder,N/A,Unknown,N/A,M,N/A,Pedestrian,1,N/A
ADI523009B,fa1a80b4-525c-4335-912e-d9cb5d927baa,Unknown,N/A,,,Apparently Normal,1/17/2001,N/A,,No Apparent Injury,Shoulder,Unknown,N/A,N/A,M,N/A,Pedestrian,1,Light Clothing
ADK529002D,d9116bc7-7f4a-4d3c-b1cb-24f07c94086d,Other,N/A,,,Apparently Normal,11/15/2007,N/A,,Possible Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,N/A,N/A,F,N/A,Other,1,N/A
ADK205001G,a2fbd904-d284-4ffa-9567-85823860ec95,Unknown,N/A,,,,10/12/2000,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,Unknown,None,M,N/A,Machine Operator/Rider,,Mixed Clothing
ADK577000T,cf8ade52-6d7b-462f-b930-6664c34eb2a9,Other,N/A,,,,8/21/2000,N/A,,Suspected Minor Injury,Other,Standing,Other,None,M,N/A,Pedestrian,,Dark Clothing
ADK435002X,6b7c8a21-7e9b-4fbd-853c-875e2a44fb94,Unknown,N/A,,,Apparently Normal,4/15/1999,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,Reflective Clothing,F,N/A,Pedestrian,1,Dark Clothing
ADJ866001Y,12ed5d51-ec8e-45de-bf79-b15b86943ed2,In Roadway Improperly,N/A,,,,12/14/1951,N/A,,Suspected Minor Injury,Other,Cross/Enter Not at Intersection,N/A,N/A,F,N/A,Pedestrian,,Dark Clothing
ADK2040039,4714cd11-353a-461a-bc91-666df3e28f06,N/A,N/A,,,Apparently Normal,6/12/1946,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,F,N/A,Pedestrian,1,Light Clothing
ADI4530028,f021a71c-498a-4a48-b112-127eed6ade58,Failure to Yield Right of Way,N/A,,,N/A,8/26/1963,N/A,,Possible Injury,In Bikeway,Walking/Riding With Traffic,N/A,None,M,N/A,Bicyclist,1,Dark Clothing
ADK8330003,a9941d3d-a32b-4862-93a5-2a56abc71b36,No Improper Actions,N/A,,,Apparently Normal,9/24/2001,N/A,,No Apparent Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,None,M,N/A,Other Pedalcyclist,1,Light Clothing
ADK5030006,59663c60-89dd-493b-844f-2c86207ff6cd,Unknown,N/A,,,Apparently Normal,7/10/1990,N/A,,Possible Injury,Curb,Standing,Unknown,Unknown,M,N/A,Pedestrian,1,Dark Clothing
ADK5030006,94e46398-5c43-43f1-a26e-ef71ad63890f,Unknown,N/A,,,Apparently Normal,1/14/1991,N/A,,No Apparent Injury,Curb,Standing,Unknown,Unknown,M,N/A,Pedestrian,1,Unknown
ADH937004R,886a36d5-bdee-435c-b841-f9c62f250c5f,Dart Dash,N/A,,,Apparently Normal,12/26/2001,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Other,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Unknown
ADJ3520059,6e53c85a-42f4-47e4-9bfa-75edeb6cb780,No Improper Actions,N/A,,,,6/30/1972,N/A,,Possible Injury,Other,Standing,N/A,N/A,M,None Detected,Pedestrian,,Mixed Clothing
ADK622001J,2b422e98-ee79-4ff9-a394-17b52febf818,No Improper Actions,N/A,,,,8/2/1973,N/A,,Suspected Minor Injury,Curb,Cross/Enter at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Dark Clothing
ADK6220010,c0940982-4ab2-4e72-8c34-a06416841532,No Improper Actions,N/A,,,Physical Defects,1/20/2005,N/A,,Suspected Serious Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Light Clothing
ADK359000M,cf0d7352-8384-4e9e-92c5-e7f769ad719a,No Improper Actions,N/A,,,,7/31/1997,N/A,,Suspected Minor Injury,Sidewalk,Walking/Riding on Sidewalk,Unknown,None,F,None Detected,Pedestrian,,Unknown
ADK242000X,fa7ec68b-b1c7-49ba-bd35-3ffe1b5d8fc2,No Improper Actions,N/A,,,Apparently Normal,7/13/1984,N/A,,Possible Injury,Curb,Standing,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,Light Clothing
ADK411000K,8addd7a2-e53f-456f-9071-a9861b16ddae,No Improper Actions,N/A,,,,5/5/1973,N/A,,Possible Injury,Other,N/A,N/A,N/A,M,Unknown,Pedestrian,1,N/A
ADH1450043,35cc5414-131b-4421-b5f7-116db6c3fdbf,Dart Dash,N/A,,,Apparently Normal,10/6/2008,N/A,,Suspected Minor Injury,Outside Right of Way,Hitchhiking,Other,N/A,M,N/A,Pedestrian,1,N/A
ADK029004H,5ee92faa-cccf-413f-944b-f05219df58ae,Unknown,N/A,,,,4/21/1976,N/A,,Possible Injury,Other,Unknown,Unknown,None,F,N/A,Pedestrian,,Light Clothing
ADJ47600BY,4d863ee4-109b-49e5-b434-d8c2628230f2,No Improper Actions,N/A,,,,8/4/1964,N/A,,Possible Injury,Curb,Standing,N/A,N/A,M,N/A,Pedestrian,,Light Clothing
ADK585000G,a25f0d93-57e5-458d-9b2f-5f12929dee15,Unknown,N/A,,,Apparently Normal,5/10/1990,N/A,,Possible Injury,Unknown,Unknown,N/A,N/A,F,N/A,Pedestrian,1,Unknown
ADK585000G,d65891fd-9a67-4447-9fd9-e1e5ccff062d,Unknown,N/A,,,Apparently Normal,12/17/2015,N/A,,Possible Injury,Unknown,Unknown,N/A,N/A,M,N/A,Other Pedalcyclist,1,Unknown
ADK1880017,25dd7b1a-aaae-49ea-a461-6c5d34ce3d4f,No Improper Actions,N/A,,,,1/26/2000,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other,N/A,N/A,F,None Detected,Pedestrian,,Light Clothing
ADK537001J,d8858cb9-f2be-445b-9580-3ad2cf50931f,Inattentive,N/A,,,Apparently Normal,7/10/1986,N/A,,Suspected Minor Injury,N/A,Getting Off/On Vehicle,N/A,None,F,N/A,Machine Operator/Rider,1,Dark Clothing
ADK593000M,392b8b29-2af4-4b23-a358-f20b541dd0dc,No Improper Actions,N/A,,,Apparently Normal,8/27/1960,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
ADK3210031,7bdba5f9-9223-4cf2-9120-729bd55c5da6,Failure to Yield Right of Way,N/A,,,Apparently Normal,11/10/2008,N/A,,Possible Injury,N/A,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Light Clothing
ADK7650007,cf7edc19-9cdb-4718-908f-114578a7486a,Unknown,N/A,,,Apparently Normal,10/23/1989,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Unknown,None,M,None Detected,Pedestrian,1,Light Clothing
ADK5450005,a02d1655-4beb-4d0b-be91-6869561e5207,Unknown,N/A,,,Apparently Normal,8/4/2015,N/A,,Suspected Minor Injury,Unknown,Playing,Unknown,Unknown,F,None Detected,Pedestrian,1,Unknown
ADJ8180010,0fc96d0f-024f-45be-8b67-4fc898b0fb6d,In Roadway Improperly,N/A,,,,3/21/1998,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Light Clothing
ADJ506004Y,7828512c-4ff3-425a-bd70-3f6a2c0c8dde,Not Visible,N/A,,,Apparently Normal,5/18/1988,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,M,None Detected,Bicyclist,1,Dark Clothing
ADH848001H,bf954852-5c75-4ba9-ad07-52110d07d505,Unknown,N/A,,,N/A,12/30/1968,Unknown,,Possible Injury,Unknown,Unknown,Unknown,N/A,M,Unknown,Pedestrian,1,Unknown
ADH796002N,59764984-3156-4ccc-b781-23be634658ea,N/A,N/A,,,,8/3/1994,N/A,,Possible Injury,Inside Building,Standing,N/A,N/A,M,None Detected,Pedestrian,1,N/A
ADJ506004Z,35b89d2c-c022-42e6-9bed-a8fe5d67d61d,Failure to Obey Traffic Signs Signals or Officer,N/A,,,Apparently Normal,10/12/2000,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
ADJ404001F,bdb5b693-dcdd-4d80-9035-cff8250f51e3,No Improper Actions,N/A,,,Apparently Normal,12/15/1977,N/A,,Suspected Minor Injury,Other,Other Working,N/A,Reflective Clothing,F,N/A,Pedestrian,1,Light Clothing
ADI604001T,c6b1f88d-e138-4fc7-949b-a89c5f871d22,No Improper Actions,N/A,,,Apparently Normal,12/14/1966,N/A,,Suspected Minor Injury,N/A,Other,N/A,N/A,F,N/A,Pedestrian,1,N/A
ADD905007N,2fd6d02c-ad63-4497-8056-7837103f2c29,Inattentive,N/A,,,Apparently Normal,7/16/1995,N/A,,Fatal Injury,On Roadway At Crosswalk,Other,No Pedestrian Signal,None,M,Unknown,Pedestrian,1,Mixed Clothing
ADF819006L,cfc0bf72-a41c-4313-a2e0-06949725669a,No Improper Actions,Other,Blood,0.14,Other,7/27/1968,Other,Positive,Fatal Injury,On Roadway Not at Crosswalk,Other,No Pedestrian Signal,N/A,M,Combined Substance Present,Pedestrian,1,Mixed Clothing
ADH150008H,15fe25b5-12b1-4998-b5f9-7af09acd4bd4,No Improper Actions,N/A,,,Apparently Normal,6/15/1959,N/A,,Fatal Injury,Shoulder,Standing,No Pedestrian Signal,None,F,None Detected,Pedestrian,2,Mixed Clothing
ADH150006L,2f9c173c-958d-479c-bc02-69a649c1a356,Dart Dash,Other,Blood,0.04,Had Been Drinking,10/2/1968,N/A,,Fatal Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,Alcohol Present,Pedestrian,1,Mixed Clothing
ADH3640071,893d75d9-63df-49dc-8492-5cdd53809c70,Dart Dash,Other,Blood,0,Apparently Normal,7/18/1996,Other,Negative,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADD721006Q,150c1727-416d-4c50-857b-5467320447ae,Failure to Yield Right of Way,Other,Blood,0,Apparently Normal,1/17/1967,Other,Negative,Fatal Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Light Clothing
ADH99100B5,d5f39650-f8b1-4079-b77c-d26da3ccb246,Dart Dash,Evidence Test Given,Blood,0.23,Had Been Drinking,1/29/1967,Evidence Test Given,Positive,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,Alcohol Present,Pedestrian,1,Dark Clothing
ADJ006003Q,e3eb4148-f88b-437e-9c09-7d177047b3ef,Failure to Yield Right of Way,N/A,,,Apparently Normal,10/21/1942,N/A,,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
